LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUT,HUR,TOT,PC_LF,M,2020,4.6
AUT,HUR,TOT,PC_LF,M,2020,4.8
AUT,HUR,TOT,PC_LF,M,2020,6
AUT,HUR,TOT,PC_LF,M,2020,7.1
AUT,HUR,TOT,PC_LF,M,2020,7.9
AUT,HUR,TOT,PC_LF,M,2020,6.7
AUT,HUR,TOT,PC_LF,M,2020,6.4
AUT,HUR,TOT,PC_LF,M,2020,6.4
AUT,HUR,TOT,PC_LF,M,2020,6.1
AUT,HUR,TOT,PC_LF,M,2020,5.8
AUT,HUR,TOT,PC_LF,M,2020,6.8
AUT,HUR,TOT,PC_LF,M,2021,7.6
AUT,HUR,TOT,PC_LF,M,2021,7
AUT,HUR,TOT,PC_LF,M,2021,6.5
AUT,HUR,TOT,PC_LF,M,2021,7.3
AUT,HUR,TOT,PC_LF,M,2021,6.8
AUT,HUR,TOT,PC_LF,M,2021,6.2
AUT,HUR,TOT,PC_LF,M,2021,6
AUT,HUR,TOT,PC_LF,M,2021,6
AUT,HUR,TOT,PC_LF,M,2021,4.9
AUT,HUR,TOT,PC_LF,M,2021,5.9
AUT,HUR,TOT,PC_LF,M,2021,5.1
AUT,HUR,TOT,PC_LF,M,2021,4.8
AUT,HUR,TOT,PC_LF,M,2022,4.7
AUT,HUR,TOT,PC_LF,M,2022,4.8
AUT,HUR,TOT,PC_LF,M,2022,4.2
AUT,HUR,TOT,PC_LF,M,2022,4.4
AUT,HUR,TOT,PC_LF,M,2022,4.7
AUT,HUR,TOT,PC_LF,M,2022,4.2
AUT,HUR,TOT,PC_LF,M,2022,4.6
AUT,HUR,TOT,PC_LF,M,2022,5.3
AUT,HUR,TOT,PC_LF,M,2022,5.2
AUT,HUR,TOT,PC_LF,M,2022,4.6
AUT,HUR,TOT,PC_LF,M,2022,5.5
AUT,HUR,TOT,PC_LF,M,2022,4.9
AUT,HUR,TOT,PC_LF,M,2023,5.1
AUT,HUR,TOT,PC_LF,M,2023,4.9
AUT,HUR,TOT,PC_LF,M,2023,4.5
AUT,HUR,TOT,PC_LF,M,2023,5.1
AUT,HUR,TOT,PC_LF,M,2023,4.7
AUT,HUR,TOT,PC_LF,M,2023,5.1
AUT,HUR,TOT,PC_LF,M,2023,5.7
AUT,HUR,TOT,PC_LF,M,2023,5.4
AUT,HUR,TOT,PC_LF,M,2023,5.5
AUT,HUR,TOT,PC_LF,M,2023,5.1
BEL,HUR,TOT,PC_LF,M,2005,8.3
BEL,HUR,TOT,PC_LF,M,2005,8.5
BEL,HUR,TOT,PC_LF,M,2005,8.6
BEL,HUR,TOT,PC_LF,M,2005,8.4
BEL,HUR,TOT,PC_LF,M,2005,8.6
BEL,HUR,TOT,PC_LF,M,2005,8.5
BEL,HUR,TOT,PC_LF,M,2005,8.5
BEL,HUR,TOT,PC_LF,M,2005,8.5
BEL,HUR,TOT,PC_LF,M,2005,8.5
BEL,HUR,TOT,PC_LF,M,2005,8.4
BEL,HUR,TOT,PC_LF,M,2005,8.4
BEL,HUR,TOT,PC_LF,M,2005,8.5
BEL,HUR,TOT,PC_LF,M,2006,8.5
BEL,HUR,TOT,PC_LF,M,2006,8.6
BEL,HUR,TOT,PC_LF,M,2006,8.6
BEL,HUR,TOT,PC_LF,M,2006,8.7
BEL,HUR,TOT,PC_LF,M,2006,8.8
BEL,HUR,TOT,PC_LF,M,2006,8.5
BEL,HUR,TOT,PC_LF,M,2006,8
BEL,HUR,TOT,PC_LF,M,2006,7.8
BEL,HUR,TOT,PC_LF,M,2006,7.9
BEL,HUR,TOT,PC_LF,M,2006,7.9
BEL,HUR,TOT,PC_LF,M,2006,8
BEL,HUR,TOT,PC_LF,M,2006,7.9
BEL,HUR,TOT,PC_LF,M,2007,7.8
BEL,HUR,TOT,PC_LF,M,2007,7.8
BEL,HUR,TOT,PC_LF,M,2007,7.9
BEL,HUR,TOT,PC_LF,M,2007,8.2
BEL,HUR,TOT,PC_LF,M,2007,8.1
BEL,HUR,TOT,PC_LF,M,2007,7.7
BEL,HUR,TOT,PC_LF,M,2007,7.3
BEL,HUR,TOT,PC_LF,M,2007,7
